Symbol: ZWK22,,,Study: OPINT
Date Time,Close,Change,Open Interest
24/03/2022 20:58,1095.25,0.5,
24/03/2022 20:59,1095.25,0,
24/03/2022 21:00,1094.75,-0.5,
24/03/2022 21:01,1095.5,0.75,
24/03/2022 21:02,1095.25,-0.25,
24/03/2022 21:03,1095,-0.25,
24/03/2022 21:04,1096.25,1.25,
24/03/2022 21:05,1096.5,0.25,
24/03/2022 21:06,1096.25,-0.25,
24/03/2022 21:07,1095.5,-0.75,
24/03/2022 21:09,1096.25,0.75,
24/03/2022 21:11,1096.25,0,
24/03/2022 21:12,1096.5,0.25,
24/03/2022 21:13,1095.5,-1,
24/03/2022 21:14,1093.5,-2,
24/03/2022 21:15,1093.75,0.25,
24/03/2022 21:16,1093.5,-0.25,
24/03/2022 21:17,1094.5,1,
24/03/2022 21:21,1093.5,-1,
24/03/2022 21:24,1093.75,0.25,
24/03/2022 21:26,1093.75,0,
24/03/2022 21:28,1093.25,-0.5,
24/03/2022 21:30,1092.5,-0.75,
24/03/2022 21:32,1092.5,0,
24/03/2022 21:34,1092,-0.5,
24/03/2022 21:35,1092.25,0.25,
24/03/2022 21:36,1093,0.75,
24/03/2022 21:37,1093,0,
24/03/2022 21:39,1092,-1,
24/03/2022 21:42,1091,-1,
24/03/2022 21:43,1091,0,
24/03/2022 21:44,1091.5,0.5,
24/03/2022 21:48,1092.75,1.25,
24/03/2022 21:53,1092.5,-0.25,
24/03/2022 21:55,1092.5,0,
24/03/2022 21:57,1092.5,0,
24/03/2022 21:58,1091,-1.5,
24/03/2022 21:59,1091,0,
24/03/2022 22:00,1091,0,
24/03/2022 22:01,1091,0,
24/03/2022 22:05,1091.75,0.75,
24/03/2022 22:06,1091.25,-0.5,
24/03/2022 22:11,1093.75,2.5,
24/03/2022 22:15,1092.5,-1.25,
24/03/2022 22:16,1094,1.5,
24/03/2022 22:17,1093.25,-0.75,
24/03/2022 22:19,1093,-0.25,
24/03/2022 22:20,1093.75,0.75,
24/03/2022 22:21,1093.75,0,
24/03/2022 22:25,1094.5,0.75,
24/03/2022 22:26,1094,-0.5,
24/03/2022 22:30,1093.5,-0.5,
24/03/2022 22:31,1093.75,0.25,
24/03/2022 22:37,1094.25,0.5,
24/03/2022 22:38,1093.25,-1,
24/03/2022 22:44,1093.5,0.25,
24/03/2022 22:47,1091.25,-2.25,
24/03/2022 22:48,1092.25,1,
24/03/2022 22:51,1092,-0.25,
24/03/2022 22:52,1092.25,0.25,
